week_id,anchor_date,ticker,sector,signal_strength,theme,archetype,furthest_stage,outcome,decided_at_stage,reason,type,conviction,signal_price,target_bear,target_base,target_bull,target_overshoot,target_prob_adj,catalyst_window,opportunity_vs_RKLB,decision_date,px_3mo,px_6mo,px_12mo,px_18mo,px_24mo,notes
2026-W23,2026-06-07,ARAY,,,Monster-shape: radiation-oncology turnaround (standalone),V,verification,DROP,verification,"CONFIRMED re-rate engine absent + dilutive rescue caps equity. Survival IS de-risked (2026 converts repaid Jun-1, $190M TCW facilities, no going-concern) — but the verify-question's re-rate engine is confirmed absent: Q3-FY26 rev $104.8M DOWN 7% YoY (-10% cc), PRODUCT rev DOWN 13% YoY, order backlog",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,AUID,,,Cybersecurity for the AI/Agentic Era (HOLD — on-list expression),N,verification,DROP,verification,"§9 RUIN FIRED + round-tripper tell, both CONFIRMED. Verify-question answered NO on both limbs: (1) Cash $1.19M as of Mar-31-2026 (down from $4.61M) vs $3.42M/quarter burn — even with the $4.2M late-April bridge that's <2 quarters runway, no GAAP-positive quarter in hand, mgmt explicitly flagged liqu",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,AXON,,,Counter-Drone [P1] (adjacent — mega-cap),G,first triage,DROP,first triage,"~$36B mega-cap at $486 (Q1-26 rev $807M, +34%); great business and counter-drone-adjacent via Dedrone, but the wrong size class entirely — no plausible ≥4x for a name this large. Counter-drone exposure is captured at small-cap via PRZO/AIRO.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,AZTA,,,Genomics & Life-Science Research Tools (AVOID — capital receding),V,first triage,DROP,first triage,"~$1B life-science sample-management/tools co with FLAT-to-DECLINING organic revenue (Q1-26 organic -1%, Sample Mgmt -2%); brief flags the theme AVOID (capital RECEDING, TD-3 firing) with AZTA explicitly 'mean-reversion watch only' — weak signal corroborates, no live ≥4x inflection.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,BAH,,,Golden Dome Missile Defense (HOLD — no clean vehicle),V,first triage,DROP,first triage,"Mature ~$10B+ large-cap gov-services consultancy at $79 (FY26 backlog $38B, book-to-bill 1.1x); won a Golden-Dome SBI prototype OTA, but Golden Dome is HOLD (no clean on-list vehicle) and a Golden-Dome-only name needs a STANDALONE ≥4x path — at this size/maturity it has none.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,BARK,,,Companion-Animal/Pet Health (HOLD),V,first triage,DROP,first triage,"Now an M&A-arb, not a venture shot: two competing all-cash take-private offers ($0.90 & $1.10/share pre-split-equivalent ~2x current $9.11 post-1:20-split), special committee + Moelis engaged. Defined cash ceiling ~2x caps the open-ended ≥4x — instrument is a buyout situation, not a re-rate.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,BBWI,,,Specialty retail (mature large-cap),V,first triage,DROP,first triage,"$7-8B specialty retailer (Q1-26 net sales $1.38B, -3% YoY; FY26 guide net sales -2.5% to -4.5%); mature large-cap with shrinking top line — wrong instrument, no ≥4x path. Weak signal is a bounce in a declining business, not an inflection.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,BNED,,,"Monster-shape — deleveraged college-bookstore / courseware turnaround (standalone, no Tier-0 theme fit)",V,deep-dive gate,DROP,deep-dive gate,"thin-setup-not-worth-a-slot — credible path only ~2x (re-rate caps there); the flagged 3-4x great-trade lacks the required HIGH CONFIDENCE + protection (Q3 margins decelerating, mid-year guide cut, needs EBITDA-doubling AND multiple-expansion stacking) — a merely-possible 2-3x = DROP per §4, plus mo",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,BTAI,,,none (neuropsychiatry — ruin firewall),N,first triage,DROP,first triage,"Ruin firewall (DNA §9): management states substantial-doubt going-concern, stockholders'-equity deficit -$105.5M, only $17.2M cash, active warrant-stacking dilution spiral — automatic DO NOT BUY regardless of the Nov-14-2026 PDUFA upside (brief also excludes BTAI on going-concern ruin).",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,BXC,,,"Housing & Building-Products Recovery (priority NONE/HOLD) — BXC = Adjacent building-products distributor, partly rate-levered; rate-decoupled leader is TGLS, not BXC",V,deep-dive gate,DROP,deep-dive gate,"thin-setup-not-worth-a-slot — no high-confidence, downside-protected, catalyst-defined 3-4x and no ≥4x: only a rate-gated cyclical recovery mgmt dates to 2027+ (0/4 discriminators, margin inflection refuted, analyst ceiling ~1.4x); a merely-possible re-rate = DROP per §4. Weak proxy for a HOLD theme",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,CDT,,,Standalone / Monster-shape (un-mapped),?,verification,DROP,verification,"CONFIRMED §9 management-credibility/controls disqualifier. CDT Equity (formerly Conduit Pharmaceuticals), sub-$1 micro-cap, received a Nasdaq deficiency letter (May-2026) for FAILURE TO TIMELY FILE its Q1-2026 Form 10-Q (until Jul-20-2026 to submit a compliance plan) — a delinquent-filing / controls",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,CLPR,,,none (NYC REIT),V,first triage,DROP,first triage,"Wrong instrument: income-distributing levered NYC REIT (a REIT doesn't compound 4x), with deteriorating fundamentals (AFFO $0.05 vs $0.19, commercial income falling, litigation costs, analyst Sell / $7 target) and rate-back-up headwind. No ≥4x path.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,CNM,,,FALSE MATCH (AI-Power/Grid + Copper),V,first triage,DROP,first triage,"Confirmed FALSE MATCH (brief): Core & Main is a ~$8B-revenue waterworks (water/wastewater/storm-drainage) distributor, NOT AI-power/grid or copper; mature large-cap growing ~1% organic via bolt-ons — wrong instrument, no ≥4x path.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,CNVS,,,Agentic Enterprise Software Re-Rate [P2],N,verification,DROP,verification,CONFIRMED agentic-washing / peripheral exposure. Verify-question answered NO: Matchpoint Hex / Hex Origin MCP is a product-launch + announced 'framework for agentic AI' with NO named enterprise customer paying for the metadata graph; the real business is media-supply-chain automation (video ingest/m,,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,CNXC,,,"Agentic Enterprise Software [P2] (disrupted-incumbent, not vehicle)",V,first triage,DROP,first triage,"Wrong size class + defensive shape: ~$10B-revenue large-cap CX/BPO whose CORE is the AI-disruption VICTIM (EPS down hard YoY, deleveraging focus); the iX-suite agentic attach is real but on a large declining base — not a ≥4x pure-play re-rate vehicle.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,CPS,,,Auto-Supplier Restructuring [headwind],V,first triage,DROP,first triage,"Shape + theme headwind: loss-making, debt-heavy auto-parts supplier (Q1 net loss -$33M, FY26 EPS guide -$2.68, debt-refi losses), ruin-adjacent and in an explicit tariff/EV-transition + bankruptcy-wave headwind theme — no credible ≥4x venture path.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,DJT,,,none (bitcoin-treasury vehicle),N,first triage,DROP,first triage,"Wrong instrument: now a Bitcoin-treasury holding co (9,500+ BTC, Q1 net loss -$406M on ~$0.87M revenue, ~$455M unrealized BTC losses, 52-wk low, interim CEO) — not a real operating company with a demand mechanism; any '4x' is just a leveraged bitcoin bet.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,EBON,,,FALSE MATCH (Stablecoins),N,first triage,DROP,first triage,Confirmed FALSE MATCH (brief) + non-fit: China-based bitcoin-mining-ASIC hardware maker pivoting into a grab-bag (exchange/FX/SaaS/solar) with persistent net losses; no live HUNT-theme angle and no standalone ≥4x mechanism evidenced.,,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,ELAN,,,Companion-Animal/Pet Health [HOLD],G,first triage,DROP,first triage,Wrong size class: ~$5B-revenue / ~$10B+-cap animal-health major growing 5-7% organic (strong pipeline — Befrena/Zenrelia — but a large mature base); pet-health is a HOLD/mature-mega-cap theme. No credible ≥4x path over 2-4yr at this size.,,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,ELOG,,,Monster-shape (China new-energy infra/logistics — no clean HUNT fit),N,verification,DROP,verification,"CONFIRMED peripheral exposure with NO live investable thematic angle. The 'new-energy-EPC pivot' is a single bid (RMB91.52M / ~$13M, two related sub-bids on one Hongze 62.5MW wind farm, won Jan 26 2026 by subsidiary Guizhou Tianrun) — first-ever such project, not a material/funded program, no cluste",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,ELTX,,,KRAS Vaccine single-name carve-out (ex-cohort),N,verification,DROP,verification,"§9 ruin/going-concern firewall FIRED on confirmed evidence: FY2026 10-Q carries an explicit management going-concern (substantial doubt) qualification; cash $14.9M (+~$5M ATM to 5/8/26) vs ~$11.6M/quarter burn → runway only into Q3/Q4-26 with no GAAP-positive quarter, and the thesis-critical FDA-ble",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,FBIN,,,Housing & Building-Products (HOLD),V,first triage,DROP,first triage,"Wrong instrument / size class can't 4x: $7.3B-cap mature, profitable building-products (cabinetry/plumbing) large-cap, ~$4.5B rev growing low-single-digits at 19x P/E — no credible ≥4x geometry in 2-4yr; Housing theme on HOLD with the rate-relief thesis WORSE (easing slipped, ~70% hike odds).",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,FND,,,Housing & Building-Products (HOLD),V,first triage,DROP,first triage,"Wrong instrument / mature low-growth retailer: $5.6B-cap specialty flooring superstore, ~$4.7B rev, EPS DOWN YoY (Q1-26 EPS $0.37 vs $0.46), housing-tied consumer-cyclical with no ≥4x path; Housing theme HOLD, rate thesis worse.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,GLBE,,,Cross-border / global-commerce enablement SaaS platform compounder (Monster-shape standalone; flagged for Tier 0),G,deep-dive gate,DROP,deep-dive gate,"thin-setup-not-worth-a-slot — real path but ceiling is a quality-grower ~2-3x re-rate (analyst-implied; 4x=~$21.6B unsupported by ~30%-and-decelerating growth at any sane multiple); falls short of BOTH the >=4x multibagger AND a high-confidence/protected 3-4x great trade (merely-possible 2-3x, no de",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,GXAI,,,Counter-Drone / Autonomous Warfare [P1],N,verification,DROP,verification,"Confirmed peripheral exposure / drone-washing (value-capture firewall): the entire C-UAS angle is a 19.99% MINORITY stake (purchased $2.9M, Mar-3-2026) in an early-stage LLC (America First Defense) whose sole asset is a Navy/NPS LICENSE to counter-drone tech — no funded program, no firm DoD/DHS PO, ",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,HOV,,,Housing & Building-Products (HOLD),V,first triage,DROP,first triage,"Wrong instrument / mature cyclical homebuilder: ~$646M-cap, ~$2.9B rev, swung to a Q2-26 loss with backlog DOWN 4.5% YoY into a rates-headwind regime — cyclical value, not venture-shape; no ≥4x geometry. Housing theme HOLD.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,IBIO,,,"GLP-1 Muscle-Preservation Adjuncts [P3, floor 3] — myostatin-Ab/SARM muscle-sparing adjuncts dosed with GLP-1s",N,deep-dive gate,DROP,deep-dive gate,"no-path / thin-setup-not-worth-a-slot / weak-proxy — §4 automatic (no credible path of EITHER kind: not a shown ≥4x; not a high-confidence protected 3-4x). Far-dated (2H-2027), undated, EXPLORATORY single first-in-human SAD binary, 0/4 discriminators shown, behind the entire validated field, dilutin",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,IDXX,,,Companion-Animal/Pet Health (HOLD),G,first triage,DROP,first triage,"Wrong instrument / mega-cap can't 4x: $45-50B-cap companion-animal diagnostics compounding low-teens (~$4.45B rev, EPS ~$14+) — a 4x implies ~$180B+ cap, no credible path in 2-4yr; brief explicitly carries IDXX under HOLD (mature mega-cap, no clean small-cap vehicle).",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,IRIX,,,Monster-shape ophthalmic-laser turnaround (no HUNT-theme fit),V,deep-dive gate,DROP,deep-dive gate,no-path + thin-setup-not-worth-a-slot — fails the §4 credible-path test (zero discriminators; the margin/CF inflection a V-turnaround needs is asserted for 2027 while GM/EBITDA fell YoY) on a structurally flat ~$53M-revenue micro-cap whose strategic review already failed to find a buyer; weak asymme,,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,JILL,,,Consumer-discretionary apparel retail (no theme),V,first triage,DROP,first triage,"Wrong instrument / mature low-growth retailer: $189M-cap women's lifestyle apparel chain (~250 stores), ~$597M flat-to-declining rev, pays a dividend, no named catalyst — a mature stable retailer with no ≥4x geometry and no HUNT-theme fit (search showed no live thematic angle).",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,LE,,,Monster-shape — apparel special-situation / brand-licensing JV catalyst (WHP Global JV); no Tier-0 HUNT-theme fit (flagged for Tier 0),V,deep-dive gate,DROP,deep-dive gate,"thin-setup-not-worth-a-slot — realistic ceiling ~2-3x SOTP re-rate (matches sell-side $32.50 ""Strong Buy"" PT ≈ 3x and forward P/E ~10x), below the great-trade 3-4x floor, unprotected, hinging on an unproven low-margin DTC turnaround + an undated/out-of-LE's-control WHP monetization swap; no ≥4x vent",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,MLCO,,,Macau Gaming (HOLD),V,first triage,DROP,first triage,"Wrong instrument / size class that can't 4x: mega-cap Macau casino operator ($1.37B Q1 revenue, +$700M buyback) in the Tier-0 HOLD'd 'Macau Gaming' theme (late-stage/priced/large-cap-only). No credible venture ≥4x path.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,MRNO,,,none (distressed RE micro-cap),V,first triage,DROP,first triage,"Ruin firewall + wrong vehicle: distressed Mexican hotel/RE micro-cap restructuring $300M senior notes (going-concern lock-up), under a Nasdaq sub-$1 delisting deficiency, with a BTC-treasury+Yorkville-SEPA pivot (dilution death-spiral shape). Real estate, not a HUNT theme. Search-confirmed.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,PACB,,,Genomics/Life-Science Tools (AVOID),V,first triage,DROP,first triage,"Current evidence = confirmed contraction in an AVOID theme: Q1-2026 revenue FLAT YoY ($37.2M), instrument sales weak, 'no recovery assumed in 2026'; Tier-0 marks Genomics/Life-Science Tools AVOID (capital RECEDING, mean-reversion-watch only) and the signal is WEAK. No live inflection.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,PRZO,,,Counter-Drone / Autonomous Warfare [P1],N,verification,DROP,verification,Theme exposure is real and direct and the theme is the P1 lead — but the VEHICLE fails the §9 ruin test on CONFIRMED evidence (automatic DO NOT BUY at selection; no size-down escape in V9). FY2025 cash just $2.2M (-48% YoY) vs $5.8M annual operating burn ≈ ~4 months runway; revenue only $1.0M; seria,,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,QDEL,,,Diagnostics (no theme; large-cap declining),V,first triage,DROP,first triage,"Wrong instrument / no ≥4x path: large-cap IVD diagnostics with DECLINING fundamentals (Q1 rev -10.5% to $620M, GAAP net loss $92M, FY26 outlook CUT on respiratory weakness + China pricing). Mature shrinking large-cap, not a venture shot. Search-confirmed.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,QTRX,,,"Blood-Based Alzheimer's Diagnostics (single-name binary; Tier-0 HOLD'd the broader theme). Reframed at Tier 2: QTRX is really a declining life-science-tools company (Simoa + acquired Akoya spatial) with a small, now-flat AD-Dx option — not a clean pure-play Dx binary.",N,deep-dive gate,DROP,deep-dive gate,"no-path + thin-setup — J1 fails both kinds: the binary was mis-specified (FDA clearance is NOT first-in-class — Fujirebio's p-tau217 test is already FDA-cleared/live via Quest — and NOT the value-unlock); the dx leg is ~8% of revenue, guided FLAT for 2026, sitting atop an organically declining core ",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,RXRX,,,"AI-Native TechBio / AI-Designed Drug Discovery (Tier-0 MONITOR, is_theme_real=FALSE)",N,deep-dive gate,DROP,deep-dive gate,"no-path + weak-proxy — no credible path of EITHER kind (not a credible ≥4x: $1.9B→$7.6B+ needs re-underwriting the abandoned AI-OS premium, FAP is a small orphan, partner deals are ~$30M milestone chunks not converting backlog; not a protected high-confidence 3-4x: contested re-rate, no defined regi",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,SCOR,,,none (distressed ad-measurement),V,first triage,DROP,first triage,"No credible ≥4x path + ruin-adjacent debt wall: distressed ad-measurement microcap, flat revenue ($85.3M, -0.5%), shrinking adj-EBITDA, $112M fixed obligations through 2030 requiring a covenant-waiver Limited Consent. Structurally low-growth with a near-term leverage overhang and no live thematic an",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,SENS,,,"Next-Gen / Long-Duration Glucose Monitoring & Diabetes Tech (Eversense 365 implantable + AID, commercial-control reversion) [P3 — top of P3]",N,capital decision,DO_NOT_BUY,capital decision,"Sound great-trade thesis at the wrong moment, weaker than RKLB-early-2024 on the sharpened bar; primary and adversarial agree. Firewall CLEAR (no new financing/guidance-cut/credibility/runway event since the 06-07 deep dive; ~$6.57 Jun-6 vs $6.67 signal, entry live; twiist/AID still qualitative, no ",great trade,Bullish,,5,7.5,13,32,11.23,"9-18 months. Near-term re-rate fuel (next 2-3 quarters): Q2-2026 print (~Aug-2026) EU insertion run-rate (Sweden/Spain), US DTC new-patient adds (~+100% YoY), reimbursement/payer-breadth disclosures. ",weaker,2026-06-07,,,,,,
2026-W23,2026-06-07,SKYX,,,"Monster-shape / standalone — smart-home & advanced-lighting platform with a licensing/OEM distribution flywheel; no clean Tier-0 HUNT-theme fit (flag for Tier 0). Judged standalone, proxy n/a.",G,deep-dive gate,DROP,deep-dive gate,"no-path + weak-proxy/thin-setup — path SHOWS 0/4 §7 discriminators and rests on an Eurofase framework + an NVIDIA Connect-Program logo (no disclosed terms, no firm cash anchor, no converting backlog, no dated milestone) with a DETERIORATING -$6M/qtr OCF burn; neither a credible ≥4x nor a high-confid",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,STI,,,Silicon-Anode [P2] / Golden-Dome (fake-inflection),N,first triage,DROP,first triage,"Fake-inflection + ruin firewall (Tier-0 already adjudicated as a 'fake-inflection pump'): 350%+ spike on a 'space/LEO-AI battery' + Bitcoin-treasury press release while Q1-2026 revenue is ~$85K and the 10-Q discloses substantial-doubt GOING CONCERN ($41M FY25 loss, ~7.7M shares pre-raise, large-floa",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,STRT,,,"Auto-Supplier Margin Restructuring / Recovery (legacy vehicle-access self-help margin expansion vs negative volume cycle; Tier-0 priority NONE/HOLD, floor 4)",V,deep-dive gate,DROP,deep-dive gate,"no-path — J1 fails: neither a credible ≥4x nor a high-confidence, downside-protected 3-4x. A 3-4x to ~$1-1.4B needs ~4-5x clean-earnings growth (consensus clean EPS ~$3.67, ~$14-15M NI), but revenue is DECLINING (-4.5% Q3, -3-4% guided Q4, EV programs -$9M, Ford/Hyundai-Kia each -10%+) and restructu",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,TGLS,,,Housing & Building-Products Recovery / commercial-glass + infra-water decoupled rung (decoupled-leader escape: TGLS),V,deep-dive gate,DROP,deep-dive gate,"no-path — reviewer-suspected great-trade/≥4x path REFUTED on current data: at ~$1.93B cap, ~11% revenue growth with compressing margins gives no credible ≥4x or high-confidence protected 3-4x (realistic bull ~2x, analyst FV ~1.6x); the original T1 trap-flavored reason was wrong but the correct DROP ",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,TRIB,,,Long-Duration Glucose Monitoring & Diabetes Tech [P3],N,verification,DROP,verification,"§9 ruin/debt-wall + going-concern fired (confirmed): ~$141.3M total debt ($108M variable ~12.75%) on sub-$30M equity, June-2026 interest CAPITALIZED + Perceptive covenant WAIVER (can't service cash interest), $25M Yorkville SEPA overhang, two live Nasdaq notices (bid<$1, MVPHS<$15M), explicit going-",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,TRU,,,none (large-cap credit bureau),V,first triage,DROP,first triage,"Size class / wrong instrument — ~$13B-cap credit-bureau oligopolist, $5.1B FY26 revenue guide at 8-9% organic growth, ~$4.7 adj-EPS; a mature large-cap data oligopoly compounding single-to-low-double digits cannot 4x in 2-4yr. No thematic angle. Not a closer-look candidate.",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,TWI,,,Standalone deep-cyclical off-highway tire/undercarriage turnaround (ag/construction equipment cycle) — no on-list HUNT theme,V,deep-dive gate,DROP,deep-dive gate,"thin-setup-not-worth-a-slot — honest equity geometry caps at ~2-3x (net debt ~$441M / ~4.3x trough leverage half-consumes the mid-cycle operating-leverage upside), below both qualifying bars; ag-cycle turn management-dated to 2027 (no near-term catalyst, 0/4 discriminators, EMC carrying the quarter)",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,ULBI,,,"High-Energy-Density Silicon-Anode & NDAA-Compliant Advanced Cells [P2] — but T1.5 REFUTED the silicon-anode label; ULBI is a cheap defense/industrial-power V/turnaround (Electrochem = primary lithium-metal/ultracapacitor), peripheral to the SiCore sub-theme whose strong vehicle is AMPX.",V,deep-dive gate,DROP,deep-dive gate,"no-path / thin-setup-not-worth-a-slot — structurally ~6% peak-op-margin business: no credible >=4x (a 4x ~$450-510M cap needs ~45-65x peak P/E; sell-side bull sees only ~2x/$14) and no high-confidence, downside-protected 3-4x (margin recovery is hoped-for, not printed; mgmt gave no dated conversion ",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,VERU,,,GLP-1 Muscle-Preservation Adjuncts [P3] (+Next-Gen Obesity adjacent),N,verification,DROP,verification,"§9 going-concern + <6-quarter-runway fired (confirmed by own 10-Q): 'cash insufficient to fund 12 months', SUBSTANTIAL DOUBT, cash ~$27.6M / ~$15.1M 6mo burn (~3.7Q), zero net revenue from continuing ops, 'likely need dilutive financing.' Value-inflection also slipped — near-term is PLATEAU Ph2b (in",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,WWW,,,none (mature branded-footwear mid-cap),V,first triage,DROP,first triage,"Wrong instrument — established ~$1.3B-cap branded-footwear house (Merrell/Saucony); Q1 turnaround already executing (+11% rev, +32% adj-EPS, guidance raised, stock recovered) and FY26 revenue guide only ~5% midpoint. A mature consumer brand at mid-single-digit growth with the turnaround already larg",,,,,,,,,,,,,,,,,
2026-W23,2026-06-07,WYNN,,,"Macau Gaming (HOLD, large-cap-only)",V,first triage,DROP,first triage,"Size class / wrong instrument — ~$11B-cap integrated-casino operator (Macau $989M + Vegas $662M quarterly rev, ~9% YoY growth); a mature large-cap gaming operator cannot 4x in 2-4yr and the UAE/Al Marjan optionality is immaterial against an $11B base. Brief lists Macau Gaming as HOLD / late-stage / ",,,,,,,,,,,,,,,,,
